"device","cpu","mcs","txpower","mean_load","mean_throughput","mean_goodput","mean_snr","mean_q7","mean_q11","mean_q25","mean_bler","mean_bsr","mean_turbo_its","mean_dectime","mean_overflows","mean_underflows","mean_lates"
"I7-5600U @ 2.60GHz",0.1,0,-7,17.25,0.167732466245874,0.166430136575106,5.84922193877551,1,1,1,1,95698.8010204082,2.52011479591837,1004.9106158801,0.285714285714286,0.270408163265306,16.468112244898
"I7-5600U @ 2.60GHz",0.1,0,-7,23,0.0580212742304228,0.0575456580126417,3.65334318181818,1,1,1,1,58499.6727272727,3.04240909090909,1926.33980824545,0.439772727272727,0.430681818181818,22.2738636363636
"I7-5600U @ 2.60GHz",0.1,0,-7,28.75,0.189496305267962,0.187514348968401,8.18291938997821,1,1,1,1,121386.211328976,3.43124727668845,4641.73594346895,0.257080610021787,0.276688453159041,14.2668845315904
"I7-5600U @ 2.60GHz",0.1,0,-6,2.3,0.296225040799073,0.293271942783692,8.91674463814531,1,1,1,0.598052,104864.892574073,3.40551279332085,2572.77655047522,0.284917316252744,0.268689246077306,15.8183007029629
"I7-5600U @ 2.60GHz",0.1,0,-6,5.75,0.208646552808332,0.195444082976632,7.335116905489,1,1,1,0.659623,114028.918643802,3.87530767251697,1755.70011000416,0.296606709397407,0.283387585713167,17.2518401064913
"I7-5600U @ 2.60GHz",0.1,0,-6,11.5,0.184666470585678,0.161254460409931,7.81319885486034,1,1,1,0.6964055,106990.890879347,4.67194535007399,2404.87359874821,0.297389474657788,0.325506381798002,17.1890838882723
"I7-5600U @ 2.60GHz",0.1,0,-6,17.25,0.184041854748333,0.181770584357396,7.30956945718941,1,1,1,0.76381525,163921.502883861,4.84927587040619,850.566511877022,0.311938659229604,0.25887024625273,16.248949789833
"I7-5600U @ 2.60GHz",0.1,0,-6,23,0.157963029067305,0.155588142514303,6.75598298031198,1,1,1,1,103545.037877262,3.2501645345079,1881.09644018025,0.270743793939758,0.200241465101246,15.056454728582
"I7-5600U @ 2.60GHz",0.1,0,-6,28.75,0.194367948845449,0.1758744074236,8.45103936460877,1,1,1,1,110436.543230802,4.19308752252645,1856.81163269921,0.293744913382165,0.312579932565981,16.6626536885246
"I7-5600U @ 2.60GHz",0.1,0,-5,2.3,0.395905691060189,0.392514182534538,7.46471698113208,1,1,1,0.63811,112303.58490566,3.6911320754717,1532.73408018868,0.283018867924528,0.150943396226415,15.5660377358491
"I7-5600U @ 2.60GHz",0.1,0,-5,5.75,0.185286990938652,0.184001606581192,7.61982142857143,1,1,1,0.57523,115036.714285714,2.93803571428571,1242.38602121429,0.25,0.232142857142857,13.2321428571429
"I7-5600U @ 2.60GHz",0.1,0,-5,11.5,0.157582916153816,0.156691490187204,5.64810344827586,1,1,1,0.55767,92970.7586206897,2.74275862068966,1881.34348060345,0.275862068965517,0.155172413793103,15.5172413793103
"I7-5600U @ 2.60GHz",0.1,0,-5,17.25,0.273110040029955,0.239096653382703,7.9928,1,1,1,0.76579,129399.82,5.495,6210.9983789,0.36,0.5,22.52
"I7-5600U @ 2.60GHz",0.1,0,-5,23,0.171578034706953,0.162796951846577,10.135493220339,1,1,1,1,98990.2542372881,3.78118644067797,4234.87281515254,0.23728813559322,0.220338983050847,13.1864406779661
"I7-5600U @ 2.60GHz",0.1,0,-4,2.3,0.175548302473843,0.174192906010306,7.11833333333333,1,1,1,0.59893,99111.2777777778,3.03962962962963,1355.07096353704,0.259259259259259,0.259259259259259,14.4814814814815
"I7-5600U @ 2.60GHz",0.1,0,-4,5.75,0.319110611258093,0.286148401012936,9.34214042553191,1,1,1,0.72633,126343.936170213,4.68106382978723,4313.13499419149,0.319148936170213,0.361702127659574,20.1702127659574
"I7-5600U @ 2.60GHz",0.1,0,-4,11.5,0.175805714573034,0.174389398587529,7.137,1,1,1,0.55303,105493.661016949,2.89542372881356,3643.17690677966,0.254237288135593,0.220338983050847,13.3728813559322
"I7-5600U @ 2.60GHz",0.1,0,-4,17.25,0.550009450559967,0.390772137202712,10.1483636363636,1,1,1,0.65248,111749.254545455,4.51418181818182,4412.98396661818,0.309090909090909,0.309090909090909,18.0909090909091
"I7-5600U @ 2.60GHz",0.1,0,-4,23,5.33337142884354e-06,4.57146122472303e-06,10.9,1,1,1,1,0,0.5,20,0.5,1,46.5
"I7-5600U @ 2.60GHz",0.1,0,-4,28.75,0.310942304787077,0.311997325669712,9.50902765957447,1,1,1,0.73439,131759.404255319,4.8336170212766,4448.26381729787,0.319148936170213,0.468085106382979,19.1276595744681
"I7-5600U @ 2.60GHz",0.1,0,-3,2.3,0.453017419734438,0.445418498761756,10.3520833333333,1,1,1,0.707236,122883.354166667,4.49916666666667,2742.57460122917,0.3125,0.25,22.7916666666667
"I7-5600U @ 2.60GHz",0.1,0,-3,5.75,0.614789055760522,0.557470988424088,9.68594583333333,1,1,1,0.722128,106461.895833333,4.92208333333333,15587.8791910833,0.3125,0.1875,17.9791666666667
"I7-5600U @ 2.60GHz",0.1,0,-3,11.5,0.531146302501478,0.434226742253302,9.86242352941176,1,1,1,0.711891,105196.31372549,4.83843137254902,1761.48037301961,0.333333333333333,0.352941176470588,22.7647058823529
"I7-5600U @ 2.60GHz",0.1,0,-3,17.25,0.533310826135719,0.450404683812659,10.6409189655172,1,1,1,0.627727,108477.137931034,4.19689655172414,6448.97902074138,0.293103448275862,0.344827586206897,16.2413793103448
"I7-5600U @ 2.60GHz",0.1,0,-3,23,0.450209877055466,0.158924997551819,2.54156206896552,1,1,1,0.92424,114405.706896552,8.65465517241379,8658.89978451724,0.310344827586207,0.413793103448276,17.2068965517241
"I7-5600U @ 2.60GHz",0.1,0,-3,28.75,0.3439724399894,0.327852873350006,8.36883469387755,1,1,1,0.77932,120285.816326531,5.73040816326531,1999.44250240816,0.387755102040816,0.306122448979592,22.2244897959184
"I7-5600U @ 2.60GHz",0.1,0,-2,2.3,0.278553804172648,0.277154416425956,7.91642857142857,1,1,1,0.55918,97024.0892857143,2.59375,3169.76827566071,0.25,0.196428571428571,13.3214285714286
"I7-5600U @ 2.60GHz",0.1,0,-2,5.75,0.593755936566179,0.579818921677324,11.0529787234043,1,1,1,0.69815,123680.255319149,4.13978723404255,5719.9513796383,0.297872340425532,0.340425531914894,16.3404255319149
"I7-5600U @ 2.60GHz",0.1,0,-2,11.5,0.551787511016067,0.512552029580824,11.1608,1,1,1,0.679033,123546.66,4.1464,4166.38126952,0.3,0.34,17.96
"I7-5600U @ 2.60GHz",0.1,0,-2,17.25,0.186436499214929,0.17951737496875,11.8669642857143,1,1,1,0.614749,115019.053571429,3.78196428571429,5159.28780692857,0.25,0.267857142857143,13.5535714285714
"I7-5600U @ 2.60GHz",0.1,0,-2,23,0.584020448160182,0.532378780129412,11.0002040816327,1,1,1,0.702897,125245.87755102,4.38632653061225,3062.02066726531,0.306122448979592,0.26530612244898,16.9183673469388
"I7-5600U @ 2.60GHz",0.1,0,-2,28.75,0.170759389127576,0.169357962377303,7.14981132075472,1,1,1,1,96045.358490566,2.70641509433962,1305.99329303774,0.264150943396226,0.150943396226415,14.6415094339623
"I7-5600U @ 2.60GHz",0.1,0,-1,2.3,0.479911847217122,0.4766425447567,11.3630965463108,1,1,1,0.666186666666667,122754.315857753,3.89836004273504,3034.71799221366,0.29502442002442,0.235587824873539,16.0591422466422
"I7-5600U @ 2.60GHz",0.1,0,-1,5.75,0.620488293642816,0.570642387329656,9.77057215909091,1,1,1,0.707759666666667,113662.106691919,5.05962752525252,4851.9054929154,0.289772727272727,0.323863636363636,16.1300505050505
"I7-5600U @ 2.60GHz",0.1,0,-1,11.5,0.566732607503725,0.518919216150008,12.098947332145,1,1,1,0.68638,118730.793464052,4.19806773618538,3482.84637338241,0.298712616359675,0.340225787284611,17.3996434937611
"I7-5600U @ 2.60GHz",0.1,0,-1,17.25,0.385343349022463,0.349761303652558,10.1808457182873,1,1,1,0.730379333333333,161724.710584234,5.36207749766573,4389.58739665889,0.301060424169668,0.320341469921302,17.2857676403895
"I7-5600U @ 2.60GHz",0.1,0,-1,23,0.399761050232755,0.388253042705754,11.1103465909091,1,1,1,0.744042,131411.869318182,4.75763257575758,3043.63419337311,0.326704545454545,0.40530303030303,18.188446969697
"I7-5600U @ 2.60GHz",0.1,0,-1,28.75,0.424406582736478,0.388230227793201,10.6747515103756,1,1,1,0.650595333333333,119147.485605464,3.94825032834253,3303.97855305475,0.295573942737063,0.374848962437615,17.3473601260835
"I7-5600U @ 2.60GHz",0.1,0,4,2.3,0.515696874527307,0.481060671754788,12.7890011904762,1,1,1,0.6617755,99169.1116071429,3.93330357142857,1541.68441627232,0.297619047619048,0.297619047619048,17.4970238095238
"I7-5600U @ 2.60GHz",0.1,0,4,5.75,0.43480258764542,0.390634875782748,15.6048338461538,1,1,1,0.697072,101408.050384615,4.40681923076923,4054.55091497192,0.313846153846154,0.382692307692308,18.4042307692308
